Time (sec),AC Compressor Sw (on/off),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (deg),AVCS In Left (deg),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Calculated Load Ext (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),EGR Commanded (steps),Feedback Knock (deg),Fine Knock Learn (deg),Fuel Cut (cylinders),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (gear),Ign Comp IAT (deg),Ignition Timing (deg),Inj Duty Cycle (%),Inj PW (ms),Inj Timing H SOI (deg),Intake Temp (F),Intake Temp Manifold (F),MAF Corr Final (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.5.0-25420][2021 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1 91 v400.ptm - Realtime: Stage1 91 v400.ptm]"
0.000,on,0.00,0.00,3.91,-1.56,14.27,0,1,0.0,14.50,14.08,-11.41,-11.42,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,1,412,438,3,-1.5,15.50,1.72,0.806,180,100,113,7.53,1.30,3.10,202,2558,0.00,0.00,0.000,0.00,0.000,-11.42,7.5,35,0.00,0
0.061,on,0.00,0.00,3.91,-1.56,14.42,0,1,0.0,14.50,14.16,-11.53,-11.46,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,1,463,438,3,-1.5,15.50,1.63,0.765,180,100,113,7.51,1.32,2.98,202,2558,0.00,0.05,0.000,0.00,0.000,-11.42,7.5,35,0.00,0
0.126,on,0.00,0.00,3.91,-1.56,14.54,0,0,0.0,14.50,14.00,-11.53,-11.48,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,1,451,438,3,-1.5,15.50,1.59,0.746,180,100,113,7.51,1.32,2.97,202,2563,0.00,0.06,0.000,0.00,0.000,-11.41,7.5,35,0.00,0
0.202,on,0.00,0.00,3.91,-1.56,14.69,0,0,0.0,14.50,14.16,-11.53,-11.48,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,1,473,438,3,-1.5,15.50,1.58,0.739,180,100,113,7.50,1.32,2.97,202,2561,0.00,0.07,0.000,0.00,0.000,-11.42,7.5,35,0.00,0
0.275,on,0.00,0.00,3.91,-1.56,14.98,0,-1,0.0,14.50,14.00,-11.52,-11.48,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,1,455,438,3,-1.5,15.50,1.57,0.736,180,100,113,7.52,1.32,2.98,202,2567,0.00,0.06,0.000,0.00,0.000,-11.41,7.5,35,0.00,0
0.351,on,0.00,0.00,3.91,-1.56,15.31,0,-1,0.0,14.50,14.08,-11.55,-11.49,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,2,467,438,3,-1.5,15.50,1.57,0.736,180,100,113,7.53,1.32,2.95,202,2568,0.00,0.08,0.000,0.00,0.000,-11.41,7.5,35,0.00,0
0.406,on,0.00,0.00,3.91,-1.56,15.34,0,-2,0.0,14.50,14.08,-11.50,-11.46,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,2,477,438,3,-1.5,15.50,1.57,0.736,180,100,113,7.52,1.32,3.00,202,2558,0.00,0.04,0.000,0.00,0.000,-11.42,7.5,35,0.00,0
0.476,on,0.00,0.00,3.91,-1.56,15.78,0,-2,0.0,14.50,13.92,-11.48,-11.44,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,2,484,438,3,-1.5,15.50,1.58,0.736,180,100,113,7.56,1.32,3.02,202,2578,0.00,0.02,0.000,0.00,0.000,-11.41,7.5,35,0.00,0
0.559,on,0.00,0.00,3.91,-1.56,16.77,0,-3,0.0,14.50,14.00,-11.47,-11.42,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,3,483,438,3,-1.5,15.50,1.57,0.736,180,100,113,7.53,1.32,3.03,202,2560,0.00,0.00,0.000,0.00,0.000,-11.41,7.5,35,0.00,0
0.615,on,0.00,0.00,3.91,-1.56,17.26,0,-3,0.0,14.50,14.16,-11.43,-11.39,14.66,0.17,0.18,14.99,192,0.875,0,0.00,0.00,3,517,438,3,-1.5,15.50,1.57,0.736,180,100,113,7.53,1.32,3.08,202,2556,0.00,-0.03,0.000,0.00,0.000,-11.42,7.5,35,0.00,0
0.719,on,0.00,0.00,3.91,-1.56,17.99,0,-3,0.0,14.50,14.08,-11.40,-11.37,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,3,494,438,3,-1.5,10.50,1.58,0.736,180,100,113,7.57,1.32,3.10,202,2584,0.00,-0.04,0.000,0.00,0.040,-11.41,7.5,35,0.00,0
0.766,on,0.00,0.00,3.91,-1.56,18.55,0,-3,0.0,14.50,14.00,-11.37,-11.36,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,514,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.52,1.32,3.13,202,2557,0.00,-0.05,0.000,0.00,0.296,-11.42,7.5,35,0.00,0
0.842,on,0.00,0.00,3.91,-1.56,19.26,0,-3,0.0,14.50,13.20,-11.33,-11.36,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,510,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.54,1.32,3.17,202,2567,0.00,-0.05,0.000,0.00,0.754,-11.41,7.5,35,0.00,0
0.907,on,0.00,0.00,3.91,-1.56,20.14,0,-3,0.0,14.50,13.28,-11.31,-11.34,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,515,438,3,-1.5,10.50,1.58,0.736,180,100,113,7.56,1.32,3.19,202,2578,0.00,-0.06,0.000,0.00,0.824,-11.41,7.5,35,0.00,0
0.998,on,0.00,0.00,3.91,-1.56,21.46,0,-3,0.0,14.50,13.52,-11.32,-11.33,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,515,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.53,1.32,3.19,202,2562,0.00,-0.08,0.000,0.00,0.904,-11.42,7.5,35,0.00,0
1.063,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.44,-11.20,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,519,438,3,-1.5,10.50,1.58,0.736,180,100,113,7.55,1.32,3.30,202,2572,0.00,-0.09,0.000,0.00,0.974,-11.41,7.5,35,0.00,0
1.127,on,0.00,0.00,3.91,-1.56,22.20,0,-9,0.0,14.50,13.20,-11.20,-11.29,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,520,438,3,-1.5,10.50,1.58,0.736,180,100,113,7.56,1.32,3.30,202,2575,0.00,-0.10,0.000,0.00,1.000,-11.41,7.5,35,0.00,0
1.195,on,0.00,0.00,3.91,-1.56,22.20,0,-2,0.0,14.50,13.28,-11.26,-11.30,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,520,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.53,1.32,3.24,202,2565,0.00,-0.11,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
1.250,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.52,-11.37,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,520,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.55,1.32,3.13,202,2567,0.00,-0.11,0.000,0.00,1.000,-11.41,7.5,35,0.00,0
1.306,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.44,-11.38,-11.31,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,520,438,3,-1.5,10.50,1.58,0.736,180,100,113,7.56,1.32,3.12,202,2574,0.00,-0.12,0.000,0.00,1.000,-11.41,7.5,35,0.00,0
1.381,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.36,-11.39,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,526,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.55,1.32,3.11,202,2564,0.00,-0.09,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
1.454,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.28,-11.41,-11.33,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,526,438,3,-1.5,10.50,1.58,0.736,180,100,113,7.56,1.30,3.09,202,2570,0.00,-0.10,0.000,0.00,1.000,-11.41,7.5,35,0.00,0
1.508,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.28,-11.42,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,526,438,3,-1.5,10.50,1.58,0.736,180,100,113,7.56,1.32,3.09,202,2569,0.00,-0.10,0.000,0.00,1.000,-11.41,7.5,35,0.00,0
1.565,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.36,-11.37,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,526,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.56,1.32,3.14,202,2561,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
1.648,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.28,-11.38,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,526,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.57,1.32,3.12,202,2556,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
1.705,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.28,-11.39,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,531,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.58,1.32,3.11,202,2561,0.00,-0.09,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
1.786,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.28,-11.39,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,531,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.57,1.32,3.11,202,2557,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
1.851,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.28,-11.41,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,531,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.57,1.30,3.09,202,2556,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
1.905,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.28,-11.36,-11.31,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,531,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.59,1.30,3.15,202,2561,0.00,-0.11,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
1.988,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.36,-11.37,-11.31,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,536,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.59,1.32,3.14,202,2558,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.048,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.28,-11.38,-11.31,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,536,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.59,1.32,3.13,202,2563,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.105,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.28,-11.34,-11.31,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,536,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.60,1.32,3.16,202,2559,0.00,-0.11,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.182,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.36,-11.36,-11.31,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,536,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.60,1.32,3.15,202,2555,0.00,-0.11,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.257,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.36,-11.37,-11.31,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,540,438,3,-1.5,10.50,1.56,0.736,180,100,113,7.58,1.32,3.14,202,2550,0.00,-0.11,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.335,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.36,-11.39,-11.31,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,541,438,3,-1.5,10.50,1.56,0.736,180,100,113,7.60,1.32,3.11,202,2546,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.390,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.28,-11.41,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,541,438,3,-1.5,10.50,1.56,0.736,180,100,113,7.59,1.32,3.10,202,2546,0.00,-0.11,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.447,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.28,-11.39,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,541,438,3,-1.5,10.50,1.56,0.736,180,100,113,7.60,1.30,3.11,202,2550,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.506,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.92,-11.36,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,542,438,3,-1.5,10.50,1.56,0.736,180,100,113,7.60,1.32,3.15,202,2550,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.591,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.76,-11.35,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,547,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.65,1.32,3.15,202,2552,0.00,-0.11,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.647,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.76,-11.37,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,547,438,3,-1.5,10.50,1.56,0.736,180,100,113,7.63,1.32,3.14,202,2550,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.720,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.76,-11.34,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,547,438,3,-1.5,10.50,1.57,0.736,180,100,113,7.62,1.32,3.16,202,2552,0.00,-0.11,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.781,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.84,-11.36,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,547,438,3,-1.5,10.50,1.56,0.736,180,100,113,7.61,1.30,3.15,202,2550,0.00,-0.11,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.836,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.84,-11.34,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,547,438,3,-1.5,10.50,1.56,0.736,180,100,113,7.61,1.30,3.16,202,2547,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.917,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.76,-11.36,-11.33,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,551,438,3,-1.5,10.50,1.56,0.736,180,100,113,7.58,1.30,3.15,202,2546,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
2.981,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.92,-11.38,-11.33,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,552,438,3,-1.5,10.50,1.56,0.736,180,100,113,7.58,1.32,3.13,202,2545,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
3.037,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.92,-11.37,-11.34,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,552,438,3,-1.5,10.50,1.56,0.736,180,100,113,7.57,1.30,3.14,202,2543,0.00,-0.09,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
3.096,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.52,-11.32,-11.33,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,552,438,3,-1.5,10.50,1.55,0.736,180,100,113,7.57,1.32,3.19,202,2534,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
3.156,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.68,-11.28,-11.33,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,552,438,3,-1.5,10.50,1.55,0.736,180,100,113,7.56,1.30,3.22,202,2534,0.00,-0.10,0.000,0.00,1.000,-11.43,7.5,35,0.00,0
3.237,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.68,-11.33,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,556,438,3,-1.5,10.50,1.55,0.736,180,100,113,7.56,1.30,3.17,202,2534,0.00,-0.10,0.000,0.00,1.000,-11.42,7.5,35,0.00,0
3.301,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.76,-11.37,-11.33,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,557,438,3,-1.5,10.50,1.55,0.736,180,100,113,7.55,1.32,3.13,202,2529,0.00,-0.10,0.000,0.00,1.000,-11.43,7.5,35,0.00,0
3.356,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.84,-11.36,-11.33,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,557,438,3,-1.5,10.50,1.55,0.736,180,100,113,7.55,1.30,3.15,202,2523,0.00,-0.10,0.000,0.00,1.000,-11.43,7.5,35,0.00,0
3.421,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.52,-11.32,-11.32,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,557,438,3,-1.5,10.50,1.55,0.736,180,100,113,7.55,1.32,3.18,202,2523,0.00,-0.11,0.000,0.00,1.000,-11.43,7.5,35,0.00,0
3.476,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.84,-11.28,-11.31,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,557,438,3,-1.5,10.50,1.54,0.736,180,100,113,7.54,1.30,3.23,202,2519,0.00,-0.13,0.000,0.00,1.000,-11.43,7.5,35,0.00,0
3.553,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.76,-11.33,-11.29,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,557,438,3,-1.5,10.50,1.54,0.736,180,100,113,7.52,1.28,3.18,202,2513,0.00,-0.14,0.000,0.00,1.000,-11.43,7.5,34,0.00,0
3.622,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.76,-11.36,-11.31,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,557,438,3,-1.5,10.50,1.54,0.736,180,100,113,7.51,1.30,3.14,202,2507,0.00,-0.14,0.000,0.00,1.000,-11.43,7.5,34,0.00,0
3.697,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.76,-11.35,-11.30,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,563,438,3,-1.5,10.50,1.53,0.736,180,100,113,7.50,1.30,3.15,202,2503,0.00,-0.15,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
3.756,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.76,-11.22,-11.29,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,563,438,3,-1.5,10.50,1.53,0.736,180,100,113,7.49,1.30,3.28,202,2497,0.00,-0.14,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
3.835,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.68,-11.21,-11.26,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,563,438,3,-1.5,10.50,1.53,0.736,180,100,113,7.50,1.30,3.30,202,2496,0.00,-0.15,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
3.899,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.60,-11.20,-11.26,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,563,438,3,-1.5,10.50,1.53,0.736,180,100,113,7.50,1.32,3.30,202,2491,0.00,-0.15,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
3.951,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.76,-11.20,-11.26,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,563,438,3,-1.5,10.50,1.53,0.736,180,100,113,7.51,1.30,3.30,202,2495,0.00,-0.15,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
4.006,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.44,-11.20,-11.26,14.59,0.17,0.18,13.02,192,0.875,0,0.00,0.00,4,568,438,3,-1.5,10.50,1.53,0.736,180,100,113,7.50,1.32,3.31,202,2491,0.00,-0.16,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
4.084,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.76,-11.23,-11.26,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,568,438,3,-1.5,10.50,1.53,0.736,180,100,113,7.50,1.32,3.27,202,2489,0.00,-0.18,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
4.138,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.84,-11.24,-11.26,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,568,438,3,-1.5,10.50,1.53,0.736,180,100,113,7.50,1.30,3.26,202,2487,0.00,-0.18,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
4.197,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.76,-11.27,-11.26,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,568,438,3,-1.5,10.50,1.52,0.736,180,100,113,7.51,1.32,3.23,202,2485,0.00,-0.18,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
4.267,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.76,-11.30,-11.27,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,568,438,3,-1.5,10.50,1.52,0.736,180,100,113,7.51,1.30,3.20,202,2484,0.00,-0.18,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
4.341,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.76,-11.36,-11.30,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,568,438,3,-1.5,10.50,1.52,0.736,180,100,113,7.50,1.32,3.15,202,2480,0.00,-0.17,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
4.391,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.84,-11.26,-11.28,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,573,438,3,-1.5,10.50,1.52,0.736,180,100,113,7.50,1.32,3.24,202,2474,0.00,-0.15,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
4.446,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.68,-11.34,-11.29,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,573,438,3,-1.5,10.50,1.52,0.736,180,100,113,7.50,1.30,3.17,202,2473,0.00,-0.17,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
4.526,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.52,-11.23,-11.29,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,573,438,3,-1.5,10.50,1.52,0.736,180,100,113,7.50,1.32,3.27,202,2471,0.00,-0.15,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
4.591,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.76,-11.20,-11.27,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,573,438,3,-1.5,10.50,1.51,0.736,180,100,113,7.50,1.30,3.30,202,2466,0.00,-0.16,0.000,0.00,1.000,-11.45,7.5,34,0.00,0
4.646,on,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.68,-11.24,-11.28,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,573,438,3,-1.5,10.50,1.51,0.736,180,100,113,7.51,1.32,3.26,202,2470,0.00,-0.15,0.000,0.00,1.000,-11.45,7.5,34,0.00,0
4.716,on,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.76,-11.33,-11.29,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,573,438,3,-1.5,10.50,1.51,0.736,180,100,113,7.50,1.30,3.17,202,2462,0.00,-0.17,0.000,0.00,1.000,-11.45,7.5,34,0.00,0
4.796,off,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.60,-11.35,-11.30,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,579,438,3,-1.5,10.50,1.51,0.736,180,100,113,7.50,1.32,3.15,202,2457,0.00,-0.17,0.000,0.00,1.000,-11.45,7.5,34,0.00,0
4.861,off,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.68,-11.23,-11.29,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,579,438,3,-1.5,10.50,1.52,0.736,180,100,113,7.53,1.30,3.27,202,2475,0.00,-0.14,0.000,0.00,1.000,-11.44,7.5,34,0.00,0
4.916,off,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.52,-11.24,-11.28,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,579,438,3,-1.5,10.50,1.51,0.736,180,100,113,7.51,1.30,3.26,202,2462,0.00,-0.15,0.000,0.00,1.000,-11.45,7.5,34,0.00,0
4.993,off,0.00,0.00,3.91,-1.56,22.20,0,0,0.0,14.50,13.76,-11.27,-11.28,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,579,438,3,-1.5,10.50,1.50,0.736,180,100,113,7.47,1.26,3.23,202,2443,0.00,-0.17,0.000,0.00,1.000,-11.45,7.5,34,0.00,0
5.067,off,0.00,0.00,3.91,-1.56,22.20,0,-1,0.0,14.50,13.60,-11.33,-11.30,14.59,0.18,0.18,13.02,192,0.875,0,0.00,0.00,4,579,438,3,-1.5,10.50,1.51,0.736,180,100,113,7.49,1.30,3.17,202,2459,0.00,-0.16,0.000,0.00,1.000,-11.45,7.5,34,0.00,0
